filename,band_id,x_center,width,energy,sn_ratio,sharpness,delta_chroma,symmetry,label
036.bmp,2,64,9,47.7553,16.65,16.96,12.53,0.3118,0
036.bmp,3,82,10,81.1494,28.3,13.57,38.53,0.1877,0
037.bmp,0,13,9,51.4158,24.8,8.98,22.94,0.3244,0
037.bmp,1,32,10,52.6596,25.4,20.15,13.76,0.0493,0
037.bmp,2,51,9,78.4422,37.84,29.52,19.44,0.3729,0
037.bmp,3,73,10,5.2363,2.53,1.84,4,0.4387,0
038.bmp,0,14,9,30.2187,14.44,10.53,6.42,0.4939,0
038.bmp,1,38,10,54.6198,26.09,26.78,9.31,0.1742,0
038.bmp,2,59,8,53.6111,25.61,11.8,26.27,0.2635,0
038.bmp,3,76,10,110.4171,52.75,18.49,52.56,0.4176,0
039.bmp,0,12,9,48.7171,32.74,12.12,19.1,0.3213,0
039.bmp,1,30,9,79.3801,53.35,15.74,38.32,0.2237,0
039.bmp,2,47,8,79.0585,53.13,14.82,33.69,0.5079,0
039.bmp,3,76,10,25.2901,17,14.29,5.39,0.2241,0
040.bmp,0,10,8,41.7576,18.52,16.37,9.4,0.3951,0
040.bmp,1,30,8,65.7416,29.16,21.98,18.51,0.5193,0
040.bmp,2,49,9,69.3626,30.77,12.98,35.43,0.1731,0
040.bmp,3,72,13,8.86,3.93,4.31,3.41,0.5318,0
041.bmp,0,19,10,25.3532,18.56,4.26,10.24,0.3113,0
041.bmp,1,39,9,81.8529,59.91,10.07,42.5,0.1793,0
041.bmp,2,58,11,71.6762,52.46,25.67,15.1,0.252,0
041.bmp,3,79,13,54.4615,39.86,16.6,19.45,0.3192,0
042.bmp,0,15,11,29.7661,20.5,12.61,1.89,0.3432,0
042.bmp,1,43,9,67.2833,46.33,16.86,27.39,0.3722,0
042.bmp,2,59,11,65.7954,45.31,19.91,17.95,0.9235,0
042.bmp,3,77,10,38.371,26.42,14.6,15.81,0.5126,0
043.bmp,0,12,8,53.761,30.81,17.1,22.21,0.3328,0
043.bmp,1,30,9,55.8036,31.98,20.24,16.58,0.1795,0
043.bmp,2,44,10,71.2759,40.85,19.76,22.44,0.3924,0
043.bmp,3,59,9,66.8604,38.32,14.01,23.19,0.5358,0
043.bmp,4,77,10,78.6292,45.06,12.49,36.75,0.3278,0
044.bmp,0,8,8,46.5305,23.51,17.56,13.56,0.357,0
044.bmp,1,29,9,69.717,35.23,21.69,24.13,0.2052,0
044.bmp,2,48,10,66.6976,33.7,12.45,34.85,0.037,0
044.bmp,3,68,11,10.1463,5.13,2.68,3.98,0.4341,0
045.bmp,0,18,12,37.4117,25.88,15.01,15.93,0.3892,0
045.bmp,1,37,8,45.6561,31.58,15.7,18.95,0.2573,0
045.bmp,2,58,11,36.0554,24.94,6.9,20.17,0.1272,0
045.bmp,3,80,7,3.9246,2.71,1.58,0.34,0.1103,0
046.bmp,0,10,8,43.0809,36.34,15.61,11.4,0.2614,0
046.bmp,1,30,8,40.7567,34.38,11.69,15.96,0.3275,0
046.bmp,2,49,10,68.6739,57.93,9.92,34.22,0.4057,0
046.bmp,3,67,7,20.5678,17.35,4.92,5.72,0.7517,0
047.bmp,0,12,7,13.8403,8.77,4.52,6.53,0.6147,0
047.bmp,1,37,10,43.8372,27.79,15.98,13.79,0.0727,0
047.bmp,2,59,9,96.7859,61.35,9.07,37.94,0.2099,0
047.bmp,3,78,10,53.9946,34.22,10.14,29.96,0.3685,0
048.bmp,0,12,10,41.7742,28.8,11.15,21.64,0.4366,0
048.bmp,1,29,10,51.1285,35.25,9.06,24.15,0.1152,0
048.bmp,2,46,8,33.6657,23.21,12.01,3.61,0.1664,0
048.bmp,3,75,8,10.9956,7.58,6.4,3.62,0.1494,0
049.bmp,0,18,9,26.563,19.58,3.89,11.95,0.3439,0
049.bmp,1,39,10,99.4322,73.31,18.77,50.99,0.1402,0
049.bmp,2,57,9,91.9545,67.8,0.83,4,0.3204,0
049.bmp,3,78,11,101.1582,74.58,17.54,48.56,0.3643,0
050.bmp,0,8,12,19.1044,13.74,7.83,11.17,0.3046,0
050.bmp,1,29,9,40.6345,29.22,16.3,8.98,0.1159,0
050.bmp,2,48,10,73.2032,52.65,13.61,36.24,0.2361,0
050.bmp,3,67,9,12.7365,9.16,4.34,6.15,0.4519,0
051.bmp,0,18,10,20.4155,10.37,7.38,8.65,0.07,0
051.bmp,1,40,10,71.5122,36.34,10.15,34.17,0.1071,0
051.bmp,2,58,11,75.0054,38.11,11.19,29.97,0.3051,0
051.bmp,3,77,11,34.61,17.59,11.56,7.05,0.6105,0
052.bmp,0,18,9,16.4797,7.9,9.82,6.73,0.7175,0
052.bmp,1,41,9,40.9284,19.62,12.66,14.96,0.3102,0
052.bmp,2,61,10,35.6588,17.09,3,9.25,0.8663,0
052.bmp,3,81,10,74.1732,35.56,15.35,36.5,0.0995,0
053.bmp,0,12,12,13.9029,5.28,1.9,4.51,0.4836,0
053.bmp,1,39,12,72.0207,27.37,2.82,38.91,0.0517,0
053.bmp,2,59,10,81.9949,31.17,30.84,22.87,0.1948,0
053.bmp,3,79,9,77.3636,29.41,19.46,37.43,0.5157,0
054.bmp,0,7,7,8.4502,5.26,4.61,1.98,0.3792,0
054.bmp,1,25,10,51.7071,32.2,5.97,26.44,0.1731,0
054.bmp,2,47,9,22.5518,14.04,5.15,2.95,0.7831,0
054.bmp,3,65,10,46.9819,29.26,6.55,18.59,0.7287,0
055.bmp,0,15,11,93.7328,60.37,11.05,56.64,0.4355,0
055.bmp,1,35,10,20.3613,13.11,0.99,15.01,0.1015,0
055.bmp,2,54,11,63.5006,40.9,5.92,26.44,0.2454,0
055.bmp,3,80,13,32.1209,20.69,13.61,3.69,0.318,0
056.bmp,0,18,13,19.6232,11.63,6.76,6.91,0.4612,0
056.bmp,1,40,11,61.4279,36.4,5.81,33.35,0.207,0
056.bmp,2,58,12,47.9573,28.41,12.07,19.63,0.3424,0
056.bmp,3,77,12,39.0619,23.14,12.36,8.9,0.7395,0
057.bmp,0,16,9,17.8423,8.89,5.06,7.34,0.5282,0
057.bmp,1,39,11,99.6127,49.64,16.51,48.65,0.2812,0
057.bmp,2,58,11,56.8279,28.32,20.73,20.11,0.205,0
057.bmp,3,74,13,54.3518,27.08,19.36,5.16,0.325,0
058.bmp,0,16,11,11.3945,5.59,4.3,6.49,0.3432,0
058.bmp,1,43,9,16.4865,8.09,4.94,7.39,0.1878,0
058.bmp,2,61,12,123.9416,60.84,14.87,67.89,0.2985,0
058.bmp,3,83,11,64.8331,31.83,2.31,4.77,0.3594,0
059.bmp,0,15,9,7.0643,3,4.62,4.65,0.4224,0
059.bmp,1,41,10,28.816,12.24,1.3,0.8,0.9823,0
059.bmp,2,60,10,37.5362,15.94,2.22,16.99,0.2731,0
059.bmp,3,80,12,60.8576,25.85,2.36,16.69,0.3897,0
060.bmp,0,10,10,9.4971,6.41,2.67,5.72,0.3948,0
060.bmp,1,27,8,4.6246,3.12,1.16,2.07,0.0953,1
060.bmp,2,44,9,60.2315,40.66,11.36,23.27,0.3326,0
060.bmp,3,58,10,81.4722,55,11.94,17.07,1,0
060.bmp,4,74,8,12.5573,8.48,10.22,2.76,0.3704,0
061.bmp,0,41,10,81.0271,57.71,14.62,33.5,0.1339,0
061.bmp,1,58,10,80.0041,56.99,17.17,33.78,0.1785,0
061.bmp,2,75,11,45.0628,32.1,15.7,10.93,0.4198,0
062.bmp,0,11,11,55.793,23.33,15.57,18.89,0.3823,0
062.bmp,1,30,9,79.2784,33.14,17.54,36.14,0.0727,0
062.bmp,2,47,8,78.7591,32.93,19.51,31.17,0.4321,0
062.bmp,3,76,11,32.2419,13.48,13.44,7.24,0.2349,0
063.bmp,0,17,8,10.4339,7.1,4.45,1.6,0.3001,0
063.bmp,1,41,10,60.3008,41.01,8.52,27.09,0.1957,0
063.bmp,2,60,11,53.2582,36.22,16.12,16.73,0.2065,0
063.bmp,3,80,11,48.2527,32.81,11.01,22.75,0.4602,0
064.bmp,0,12,8,42.039,19.4,17.66,4.37,0.341,0
064.bmp,1,33,10,63.7107,29.41,20.9,6.99,0.2066,0
064.bmp,2,54,11,61.307,28.3,11.61,24.66,0.1435,0
064.bmp,3,76,8,13.4978,6.23,5.35,3.53,0.4267,0
065.bmp,0,14,10,19.5552,12.1,8.27,8.1,0.3442,0
065.bmp,1,37,10,74.9315,46.35,13.76,28.73,0.3721,0
065.bmp,2,56,11,46.1052,28.52,16.15,15.26,0.2716,0
065.bmp,3,73,12,52.6189,32.55,17.76,15.36,0.8911,0
066.bmp,0,20,9,10.9114,4.72,6.56,6.24,0.1546,0
066.bmp,1,39,10,75.0537,32.49,16.86,33.62,0.1389,0
066.bmp,2,57,10,67.2664,29.12,1.02,34.26,0.7199,0
066.bmp,3,76,10,84.5478,36.6,14.9,41.17,0.1838,0
067.bmp,0,15,10,96.3716,33.26,10.52,45.2,0.5826,0
067.bmp,1,32,8,58.5265,20.2,15.53,22.81,0.2142,0
067.bmp,2,55,10,74.9926,25.88,16.38,33.96,0.1393,0
067.bmp,3,77,6,12.3691,4.27,8.61,4.03,0.1227,0
068.bmp,0,11,9,28.9471,12.35,13.56,3.07,0.5811,0
068.bmp,1,35,9,53.1065,22.66,21.7,1.55,0.0536,0
068.bmp,2,56,9,47.2203,20.14,12.6,21.87,0.3689,0
068.bmp,3,73,11,81.7669,34.88,20.35,32.2,0.5257,0
069.bmp,0,12,9,85.7793,21.13,14.85,30.32,0.9282,0
069.bmp,1,32,8,96.0733,23.67,19.19,48.58,0.4348,0
069.bmp,2,49,9,117.2407,28.88,28.83,42.18,0.0413,0
069.bmp,3,61,8,114.8162,28.28,25.26,43.98,0.2073,0
069.bmp,4,80,7,98.4176,24.24,19.82,47.17,0.6885,0
070.bmp,0,14,9,10.1066,5.61,5.17,5.04,0.7953,0
070.bmp,1,41,9,42.9938,23.86,20.7,5.09,0.4531,0
070.bmp,2,60,10,60.6473,33.66,14.76,27.17,0.4875,0
070.bmp,3,77,8,64.9058,36.02,13.59,16.35,0.6605,0
071.bmp,0,10,9,32.5551,12.93,21.17,5.72,0.2203,0
071.bmp,1,32,10,73.7307,29.28,33.76,12.89,0.3873,0
071.bmp,2,52,11,71.7818,28.51,15.83,35.76,0.1119,0
071.bmp,3,75,11,13.65,5.42,5.62,4.54,0.646,0
072.bmp,0,10,10,54.4735,34.32,8.52,25.9,0.6736,0
072.bmp,1,30,9,111.0736,69.97,15.36,55.08,0.5201,0
072.bmp,2,51,10,35.8161,22.56,19.29,9.14,0.272,0
072.bmp,3,77,11,7.4029,4.66,3.45,1.09,0.3371,0
073.bmp,0,4,8,36.4522,18.13,16.1,4.11,0.1145,0
073.bmp,1,26,15,19.0428,9.47,22.57,23.7,0.5617,0
073.bmp,2,50,13,59.4326,29.55,20.13,8.21,0.1734,0
073.bmp,3,70,11,9.166,4.56,7.08,0.99,0.5862,0
074.bmp,0,12,10,7.6444,2.96,2.83,6.35,0.2982,0
074.bmp,1,34,10,49.5585,19.17,16.21,6.04,0.0893,0
074.bmp,2,58,10,87.5604,33.86,12.08,41.38,0.124,0
074.bmp,3,77,10,59.9319,23.18,12.88,27.6,0.3236,0
075.bmp,0,14,9,47.1342,21.18,11.18,20.42,0.2586,0
075.bmp,1,34,11,53.8288,24.19,17.54,7.87,0.1789,0
075.bmp,2,53,9,69.1377,31.07,22.45,7.37,0.1133,0
075.bmp,3,76,12,9.9732,4.48,4.35,5.62,0.5245,0
076.bmp,0,14,12,12.7492,7.72,2.78,1.21,0,0
076.bmp,1,40,12,51.1163,30.97,6.35,22.81,0.7566,0
076.bmp,2,59,9,68.1655,41.3,25.42,11.14,0.1466,0
076.bmp,3,79,10,67.045,40.62,17.68,32.09,0.168,0
077.bmp,0,7,7,10.4381,4.16,4.17,5.44,0.3051,1
077.bmp,1,32,10,56.9573,22.72,12.79,26.17,0.1229,0
077.bmp,2,52,7,61.2024,24.41,27.58,8.91,0.491,0
077.bmp,3,73,10,40.4402,16.13,18.14,7.77,0.4569,0
078.bmp,0,16,9,25.7041,11.61,9.61,6.65,0.2194,0
078.bmp,1,38,11,42.6937,19.29,12.36,22.33,0.2389,0
078.bmp,2,56,11,53.9689,24.38,20.25,2.44,0.1881,0
078.bmp,3,76,12,45.008,20.33,18.84,15.08,0.2807,0
079.bmp,0,15,9,51.3959,24.3,23.1,10.42,0.6044,0
079.bmp,1,32,10,61.9841,29.3,9.51,32.36,0.4231,0
079.bmp,2,51,8,44.3752,20.98,19.58,7.29,0.1783,0
079.bmp,3,76,12,18.1287,8.57,8.63,7.12,0.7855,0
080.bmp,0,13,12,30.6858,13.66,12.35,4.24,0.2661,0
080.bmp,1,37,11,79.6585,35.45,9.78,44.27,0.1429,0
080.bmp,2,55,10,28.3556,12.62,1.56,1.87,0.6753,0
080.bmp,3,75,12,113.5887,50.56,12.81,55.95,0.5076,0
081.bmp,0,11,12,25.1797,14.59,7.33,7.7,0.9331,0
081.bmp,1,32,11,49.7395,28.82,14.19,10.62,0.2124,0
081.bmp,2,51,10,77.0366,44.64,13.49,30.81,0.1629,0
081.bmp,3,69,8,17.9564,10.41,6.18,1.95,0.6951,0
082.bmp,0,15,11,56.7286,18.97,14.19,25.15,0.6928,0
082.bmp,1,32,9,79.4146,26.56,13.74,36.75,0.1971,0
082.bmp,2,48,8,72.2478,24.16,11.27,31.06,0.1352,0
082.bmp,3,76,11,37.6503,12.59,22.41,8.71,0.3665,0
083.bmp,0,9,7,17.5256,10.91,8.12,4.1,0.5028,0
083.bmp,1,30,10,60.9973,37.98,6.32,31.2,0.2198,0
083.bmp,2,51,9,14.6481,9.12,7.85,0.84,0.4689,0
083.bmp,3,71,9,55.8394,34.77,7.41,23.28,0.4314,0
084.bmp,0,13,9,19.4714,10.27,11.34,6.3,0.8219,0
084.bmp,1,41,12,68.5784,36.18,20.08,36.55,0.7329,0
084.bmp,2,58,9,81.9591,43.23,32.08,22.63,0.24,0
084.bmp,3,76,8,82.8563,43.71,17.27,32.93,0.6235,0
085.bmp,0,18,10,82.6133,39.69,9.46,35.1,0.7157,0
085.bmp,1,40,10,37.0874,17.82,4.24,22.85,0.1616,0
085.bmp,2,58,12,29.2012,14.03,5.32,24.8,0.1449,0
085.bmp,3,77,8,18.5983,8.93,8.84,5.34,0.5751,0
086.bmp,0,12,9,126.5545,60.17,16.09,52.14,0.7599,0
086.bmp,1,31,8,68.6374,32.64,10.89,32.06,0.3079,0
086.bmp,2,52,9,85.7636,40.78,24.14,26.78,0.1542,0
086.bmp,3,74,9,33.4273,15.89,15.32,7.41,0.7439,0
087.bmp,0,12,9,114.4527,45.44,20.62,49.93,0.604,0
087.bmp,1,27,11,57.2563,22.73,20.62,2.85,0.3617,0
087.bmp,2,45,11,59.5407,23.64,24.11,13.01,0.2517,0
087.bmp,3,74,12,31.7489,12.6,17.24,8.32,0.3453,0
088.bmp,0,13,6,6.5979,4.39,2.46,1.66,0.5816,0
088.bmp,1,39,10,36.9822,24.6,1.76,19.79,0.2918,0
088.bmp,2,58,10,45.2548,30.1,2.04,17.97,0.2883,0
088.bmp,3,78,13,53.4302,35.54,2.59,27.96,0.2872,0
089.bmp,0,9,9,55.755,39.67,3.47,14.66,0.0921,0
089.bmp,1,29,9,53.573,38.11,4.34,30.02,0.2013,0
089.bmp,2,48,9,50.7007,36.07,3.5,18.58,0.683,0
089.bmp,3,71,13,7.5577,5.38,4.18,9.89,0.1317,0
090.bmp,0,11,8,34.3097,20.6,15.32,4.87,0.1449,0
090.bmp,1,33,10,29.3494,17.62,7.75,9.87,0.1619,0
090.bmp,2,51,11,51.379,30.85,4.93,23.53,0.4642,0
091.bmp,0,14,11,3.2956,1.63,1.89,3.48,0.2654,0
091.bmp,1,39,10,3.9678,1.96,2.15,0.87,0.4669,0
091.bmp,2,60,12,90.0787,44.54,11.26,49.3,0.2417,0
091.bmp,3,81,11,46.2385,22.86,2.07,3.8,0.9963,0
092.bmp,0,11,14,9.754,3.99,0.55,7.19,0.4502,0
092.bmp,1,46,9,49.2361,20.12,8.81,22.01,0.0611,0
092.bmp,2,61,9,67.5511,27.6,8.91,26.6,0.3819,0
092.bmp,3,73,6,5.6184,2.3,6.01,2.38,0.3727,0
093.bmp,0,17,11,55.7732,20.94,6.81,30.31,0.7212,0
093.bmp,1,36,9,35.7172,13.41,12.1,13.76,0.719,0
093.bmp,2,61,11,48.5135,18.21,10.54,21.53,0.1808,0
093.bmp,3,87,13,17.1084,6.42,6.19,1.1,0.631,0
094.bmp,0,14,10,38.3404,24.11,10.04,8.9,0.5121,0
094.bmp,1,33,10,61.656,38.78,9.94,24.68,0.2844,0
094.bmp,2,51,9,51.4056,32.33,9.21,22.48,0.1722,0
094.bmp,3,79,10,20.5718,12.94,8.54,4.4,0.5843,0
095.bmp,0,18,10,43.7458,32.86,18.95,9.93,0.3178,0
095.bmp,1,35,11,34.0506,25.58,24.12,8.42,0.6164,0
095.bmp,2,56,9,44.4268,33.37,16.96,9.96,0.089,0
095.bmp,3,84,9,12.2553,9.21,7.61,0.37,0.5511,0
096.bmp,0,19,13,23.5794,15.32,7.95,8.86,0.2753,0
096.bmp,1,38,11,70.3856,45.73,8.9,26.73,0.2019,0
096.bmp,2,58,11,82.9684,53.91,0.73,32.92,0.3109,0
096.bmp,3,78,12,69.3056,45.03,9.54,28.89,0.4849,0
097.bmp,0,14,8,40.0353,29.76,15.56,6.8,0.3433,0
097.bmp,1,35,9,51.8279,38.52,17.81,10.11,0.0386,0
097.bmp,2,56,11,50.6035,37.61,7.75,25.24,0.3032,0
097.bmp,3,79,9,8.5917,6.39,4.56,0.65,0.9982,0
