filename,band_id,x_center,median_l,median_a,median_b,median_c,delta_chroma,std_l,label_id
012.bmp,2,61,22.45,20.67,23.25,31.11,22.7,2.22,2
012.bmp,3,78,29.26,-4.42,6.41,7.78,16.67,3.16,8
013.bmp,0,12,29.75,3.05,25.94,26.12,3.6,8.51,1
013.bmp,1,33,28.39,-8.27,12.94,15.35,13.67,12.97,5
013.bmp,2,52,37.45,35.33,22.41,41.83,34.97,2.35,2
014.bmp,0,13,20.56,-3.58,-10.08,10.69,24.61,14.23,1
014.bmp,1,30,12.02,4.44,-18.75,19.27,16.89,3.27,0
014.bmp,2,45,8.64,0.56,-10.03,10.05,24.64,9.93,0
014.bmp,3,60,26.7,8.34,-3.59,9.08,32.5,5.07,2
014.bmp,4,77,29.87,12.28,-0.53,12.29,36.71,1.12,2
015.bmp,0,16,56.54,-2.66,24.66,24.8,9.91,3.5,10
015.bmp,1,40,39.37,35.34,20.69,40.95,38.93,2.76,2
015.bmp,2,58,38.96,33.7,24.94,41.93,38.22,3,2
015.bmp,3,78,42.86,8.22,21.45,22.97,13.18,2.95,1
016.bmp,0,17,69.37,-4.8,22.77,23.27,7.71,3.49,10
016.bmp,1,41,46.03,41.48,28.86,50.54,47.71,2.05,2
016.bmp,2,59,38.35,13.67,21.58,25.54,19.01,1.76,1
016.bmp,3,79,50.09,-29.69,13.94,32.8,25.53,5.62,5
017.bmp,0,40,15.91,-7.56,12.18,14.34,17.69,2.11,0
017.bmp,1,60,41.19,-21.01,27.77,34.82,19.27,4.99,5
017.bmp,2,80,37.99,5.81,-17.38,18.33,46.89,5.17,7
018.bmp,0,13,52.81,25.87,23.66,35.05,24.62,8.79,2
018.bmp,1,29,24.37,-6.38,21.63,22.55,8.06,4.3,0
018.bmp,2,47,63.81,16.52,46.7,49.54,27.16,7.85,3
018.bmp,3,73,54.09,-1.93,26.16,26.24,3.73,6.62,10
019.bmp,0,13,50.96,-3.45,32.66,32.84,5.38,6.4,10
019.bmp,1,38,61.03,12.46,50.61,52.12,22.1,3.1,3
019.bmp,2,58,62.84,18.3,53.2,56.26,27.47,3.11,3
019.bmp,3,75,68,23.12,57.41,61.89,33.76,2.76,3
020.bmp,0,9,44.57,-4,20.55,20.93,8.63,3.34,10
020.bmp,1,45,33.75,24.45,27.8,37.02,27.61,1.94,2
020.bmp,2,59,39.66,0.69,-28.72,28.73,42.14,2,6
020.bmp,3,74,45.53,-1.3,21.97,22.01,8.82,1.94,1
021.bmp,0,13,27.26,6.5,11.84,13.51,10.01,5.37,1
021.bmp,1,34,41.09,-21.23,6.92,22.33,18.22,1.3,5
021.bmp,2,51,46.19,17.16,29.3,33.95,27.58,0.73,3
021.bmp,3,69,65.77,-5.5,17.72,18.55,7.02,1.6,10
022.bmp,0,40,40.32,6.48,26.36,27.15,6.55,7.7,1
022.bmp,1,62,62.45,-0.83,-2.17,2.32,24.36,2.14,8
022.bmp,2,76,38.12,9.75,25.03,26.86,8.73,6.22,1
023.bmp,0,8,64.78,-5.44,20.41,21.12,8.25,4.02,10
023.bmp,1,40,81.66,-11.88,64.61,65.69,51.12,2.48,4
023.bmp,2,63,55.29,-21.36,8.44,22.97,23.21,1.34,5
024.bmp,0,14,57.2,-3.44,28.06,28.27,5.56,7.71,10
024.bmp,1,41,77.75,-11.66,59.25,60.39,34.31,12.79,4
024.bmp,2,61,20.28,-2.16,12.23,12.42,16.17,10.67,0
024.bmp,3,81,44.38,39.97,32.88,51.75,38.19,2.87,2
025.bmp,0,11,58.08,-2.2,24.6,24.7,5.15,6.85,10
025.bmp,1,40,39.36,0.26,29.32,29.32,3.38,6.99,1
025.bmp,2,60,40.88,10.37,-25.46,27.49,52.82,4.46,7
025.bmp,3,81,74.11,-9.57,54.68,55.51,30.4,6.64,4
026.bmp,0,8,33.51,1.47,11.98,12.07,12.8,8.76,1
026.bmp,1,28,58.4,-6.06,1,6.14,22.65,1.65,8
026.bmp,2,52,11.26,-1.83,3.31,3.78,20.36,0.7,0
026.bmp,3,71,74.26,-6.86,28.53,29.34,5.73,3.3,10
027.bmp,0,15,20.57,6.26,9.82,11.64,13.11,2.12,1
027.bmp,1,35,13.88,-2.42,4.81,5.39,16.4,4.01,0
027.bmp,2,55,24.99,9.8,13.11,16.37,12.98,3.92,2
028.bmp,0,8,45.68,-4.52,19.55,20.06,5.21,6.27,10
028.bmp,1,27,39.56,22.44,35.34,41.86,34.22,3.62,3
028.bmp,2,48,74.08,-2.54,0.68,2.63,13.81,9.47,9
028.bmp,3,68,47.09,18.34,41.31,45.2,35.4,5.58,3
029.bmp,0,34,23.41,10.75,2.5,11.04,10.84,1.13,1
029.bmp,1,54,25.11,13.5,-20.2,24.3,20.24,1.63,7
029.bmp,2,74,56.22,-6.06,24.88,25.6,29.61,0.92,4
030.bmp,0,14,46.04,1.02,-1.53,1.84,3.4,2.77,10
030.bmp,1,34,24.91,8.86,3.67,9.59,10.53,2.47,1
030.bmp,2,52,27.91,11.64,-15.62,19.48,14.36,2.08,7
030.bmp,3,73,58.04,-6.66,23.38,24.3,29.44,0.74,4
031.bmp,0,15,38.26,-1.38,4.41,4.62,5.2,6.21,10
031.bmp,1,34,20.95,1.86,4.28,4.67,5.1,10.74,1
031.bmp,2,52,19.4,12.36,-15.44,19.78,19.21,1.65,7
031.bmp,3,71,49.07,-7.38,26.44,27.45,28.03,1.5,4
032.bmp,0,15,31,2.38,-0.13,2.39,1.93,6.78,10
032.bmp,1,37,11.78,8.23,2.31,8.55,8.18,7.15,1
032.bmp,2,56,17.08,5.94,-10.57,12.12,11.73,10.26,7
032.bmp,3,76,42.14,-6.73,28.71,29.49,29.79,1.39,4
033.bmp,0,13,34.6,-0.19,2.19,2.2,2.18,6.92,10
033.bmp,1,32,15.97,7.08,0.98,7.15,7.14,4.15,1
033.bmp,2,53,15.94,14.5,-15.64,21.33,21.34,2.45,7
033.bmp,3,72,47.86,-8.3,35.8,36.75,36.73,1.3,4
034.bmp,0,14,43.56,32.31,31.58,45.18,31.49,4.21,2
034.bmp,1,30,20.72,-6.75,22.33,23.33,9.5,3.63,0
034.bmp,2,49,59.57,21.31,53.98,58.04,33.15,1.83,3
034.bmp,3,77,53.06,-0.41,26.31,26.32,2.04,2.3,10
035.bmp,0,16,59.33,-1.59,27.42,27.47,2.63,3.19,10
035.bmp,1,42,36.04,6.83,30.25,31.01,6.4,2.66,1
035.bmp,2,63,63.06,-0.91,-0.09,0.91,27.67,1.36,8
035.bmp,3,78,35.65,9.53,28.45,30.01,8.54,2.24,1
036.bmp,0,18,58.12,0.55,20.39,20.4,2.96,5.59,10
036.bmp,1,41,43.19,28.42,28.91,40.54,28.8,2.32,2
036.bmp,2,64,42.9,-16.05,19.06,24.92,16.77,4.4,5
036.bmp,3,82,60.74,12.05,-19.25,22.71,44.2,1.08,7
037.bmp,0,13,45.61,-23.5,20.87,31.43,26.6,3.77,5
037.bmp,1,32,28.09,13.52,28.44,31.49,14.27,1.3,1
037.bmp,2,51,10.35,-1.42,11.56,11.65,21.69,2.72,0
037.bmp,3,73,72.55,-3.6,34.42,34.61,3.86,3.18,10
038.bmp,0,14,46.31,-8.75,30.69,31.91,8.91,2.42,10
038.bmp,1,38,29.71,4.09,18.44,18.89,8.91,3.17,1
038.bmp,2,59,54.52,-28.97,16.27,33.22,27.21,1.93,5
038.bmp,3,76,42.19,12.95,-30.45,33.09,56.7,2.52,7
039.bmp,0,12,35.25,-4.53,-0.61,4.57,24.15,1.88,8
039.bmp,1,30,30.88,38.09,33.55,50.76,40.11,1.12,2
039.bmp,2,47,37.96,37.05,34.78,50.82,39.45,1.58,2
039.bmp,3,76,44.84,-5.48,24.89,25.49,5.09,5.31,10
040.bmp,0,10,17.68,8.64,22.08,23.71,10.45,2.56,1
040.bmp,1,30,7.22,-3.16,6.25,7,22.97,4.69,0
040.bmp,2,49,32.24,37.44,32.14,49.34,36.86,1.8,2
040.bmp,3,72,47.92,-2.58,29.39,29.5,3.33,1.51,10
041.bmp,0,19,62.01,-5.91,29.17,29.76,10.09,4.68,10
041.bmp,1,39,55.54,22.92,52.05,56.88,43.41,1.55,3
041.bmp,2,58,14.81,-2.97,3.84,4.85,15.44,1.62,0
041.bmp,3,79,35.04,13.92,23.98,27.73,19.87,1.45,1
042.bmp,0,15,32.21,-3.98,25.48,25.79,1.99,0.43,10
042.bmp,1,43,27.97,27.55,32.05,42.26,31.1,1.78,2
042.bmp,2,59,27.05,28.81,31.55,42.72,32.21,1.31,2
042.bmp,3,77,31.65,-6.59,7.67,10.12,16.95,0.91,8
043.bmp,0,12,14.46,-3.56,-11.78,12.31,21.28,8.58,1
043.bmp,1,30,5.92,-0.12,-14.69,14.69,18.4,8.46,0
043.bmp,2,44,6.62,-3.02,-2.42,3.87,30.6,1.41,0
043.bmp,3,59,23.28,12.64,-0.66,12.66,35.48,1.53,2
043.bmp,4,77,26.36,18.97,3.36,19.26,41.95,0.84,2
044.bmp,0,8,17.84,14.14,20.45,24.87,15.2,1.23,1
044.bmp,1,29,6.15,-3.64,3.06,4.76,25.71,3.12,0
044.bmp,2,48,29.74,36.17,25.25,44.11,35.17,0.94,2
044.bmp,3,68,44.93,-0.55,24.77,24.77,3.94,1.37,10
045.bmp,0,18,12.81,9.03,14.06,16.71,15.66,1.05,1
045.bmp,1,37,6.15,-1.42,5.16,5.35,21.23,6.12,0
045.bmp,2,58,18.97,20.51,16.67,26.43,23.28,1.67,2
045.bmp,3,80,38.89,-1.01,26.4,26.42,0.35,2.13,10
046.bmp,0,10,19.05,9.34,15.58,18.17,12.66,1.92,1
046.bmp,1,30,31.26,-22.38,11.34,25.09,19.6,2.03,5
046.bmp,2,49,41.8,24.11,39.67,46.42,36.3,1.6,3
046.bmp,3,67,50.2,-1.88,25.09,25.16,9.31,3.91,10
047.bmp,0,12,59.44,-3.65,34.1,34.3,6.76,3.77,10
047.bmp,1,37,31.77,14.14,23.98,27.84,14.21,3.6,1
047.bmp,2,59,39.61,9.83,-17.47,20.04,50.71,4.67,7
047.bmp,3,78,45.25,34.04,28.12,44.15,31.41,2.58,2
048.bmp,0,12,49.33,25.38,21.92,33.54,22.86,7.93,2
048.bmp,1,29,44.19,28.99,26.88,39.53,26.04,3.48,2
048.bmp,2,46,37.32,6.15,27.92,28.59,3.56,4.27,1
048.bmp,3,75,51.74,-0.66,27.29,27.3,3.73,6.29,10
049.bmp,0,18,65.23,-5.14,29.77,30.21,12.08,7.95,10
049.bmp,1,39,42.96,44.22,32.42,54.83,51.04,2.35,2
049.bmp,2,57,77.48,-11.81,70.11,71.1,52.9,1.32,4
049.bmp,3,78,42.01,45.06,30.72,54.54,51.39,1.26,2
050.bmp,0,8,63.3,-3.4,5.27,6.27,11.7,2.94,9
050.bmp,1,29,17.76,6.17,14.43,15.69,9.78,2.66,1
050.bmp,2,48,23.76,34.15,22.14,40.7,37.78,1.38,2
050.bmp,3,67,38.8,-1.19,23.84,23.87,7.18,3.13,10
051.bmp,0,18,52.41,-2.71,26.17,26.31,9.08,4.18,10
051.bmp,1,40,36.11,31.41,25.13,40.23,35.65,4.15,2
051.bmp,2,58,34.25,32.26,25.64,41.21,36.59,4.98,2
051.bmp,3,77,38.08,6.64,21.05,22.08,10.72,2.8,1
052.bmp,0,18,30,-3.7,22.31,22.62,6.7,6.45,10
052.bmp,1,41,11.19,-3.78,9.84,10.54,18.79,4.93,0
052.bmp,2,61,34.12,-19.02,23.41,30.16,18.78,2.87,5
052.bmp,3,81,27.14,2.44,-10.99,11.26,39.54,4.63,7
053.bmp,0,12,71.64,-5.67,34.62,35.09,8,4.86,10
053.bmp,1,39,87.1,-13.55,68.89,70.21,39.92,1.12,4
053.bmp,2,59,15.19,-5.39,11.42,12.63,21.93,3.16,0
053.bmp,3,79,45.27,42.95,43.81,61.36,42.67,3.3,2
054.bmp,0,7,40.72,-1.28,19.15,19.19,1.85,7.42,10
054.bmp,1,25,29.64,22.29,32.46,39.38,28.71,4.55,3
054.bmp,2,47,58.9,-2.1,5.6,5.98,11.99,12.72,9
054.bmp,3,65,35.47,20.55,28.66,35.27,25.36,3.05,3
055.bmp,0,15,32.19,6.05,-34.95,35.47,56.36,4.42,6
055.bmp,1,35,52.55,-4.17,3.55,5.48,16.74,7.35,8
055.bmp,2,54,41.49,23.16,40.54,46.69,35,7.46,3
055.bmp,3,80,30.72,-1.84,23.55,23.63,4.83,7.74,10
056.bmp,0,18,52.03,-1.56,28.52,28.56,7.49,4.3,10
056.bmp,1,40,47.38,23.39,43.61,49.49,34.35,4.03,3
056.bmp,2,58,28.99,17.31,17.62,24.71,20.17,1.83,1
056.bmp,3,77,46.61,-21.84,13.5,25.68,20.73,4.97,5
057.bmp,0,16,61.98,-3.45,27.72,27.93,8.78,1.97,10
057.bmp,1,39,40.26,43.25,32.11,53.87,49.75,1.97,2
057.bmp,2,58,33.7,14.34,26.14,29.82,20.37,0.66,1
057.bmp,3,74,44.52,-28.69,13.41,31.67,24.59,1.73,5
058.bmp,0,16,63.43,-3.8,31.62,31.85,6.76,2.69,10
058.bmp,1,43,64.42,-4.59,33.03,33.35,8.12,4.53,10
058.bmp,2,61,47.45,15.31,-38.31,41.26,68.41,1.85,7
058.bmp,3,83,83.63,-12.5,62.86,64.09,37.11,1.61,4
059.bmp,0,15,60.69,-4.45,32.84,33.14,5.64,4.73,10
059.bmp,1,41,77.4,-3.67,47.34,47.49,15.55,1.94,4
059.bmp,2,60,65.77,10.14,50.69,51.69,20.21,2.46,3
059.bmp,3,80,67.85,17.03,60.3,62.66,31.94,0.67,3
060.bmp,0,10,58.95,-6.25,23.41,24.23,6.55,3.68,10
060.bmp,1,44,40.14,21.89,27.03,34.78,23.32,3.28,2
060.bmp,2,58,43.33,-1.94,-23.19,23.27,43.57,2.08,6
060.bmp,3,74,47.36,-0.09,23.14,23.14,2.8,1,1
061.bmp,0,41,50.93,32.53,25.03,41.05,35.48,8.58,2
061.bmp,1,58,49.63,33.88,27.02,43.33,37.06,8.24,2
061.bmp,2,75,50.27,10.38,24.97,27.04,13.59,5.61,1
062.bmp,0,11,60.11,-1.97,-3.64,4.14,26.42,3.96,8
062.bmp,1,30,53.45,37.05,34.27,50.46,37.35,4.31,2
062.bmp,2,47,53.2,38.09,36.47,52.74,39.08,2.33,2
062.bmp,3,76,63.51,-4.73,26.61,27.03,7.52,2.39,10
063.bmp,0,17,73.79,-0.95,23.58,23.6,1.84,7.12,10
063.bmp,1,41,66.01,19.27,44.47,48.46,30.82,4.3,3
063.bmp,2,60,44.44,14.31,18.88,23.69,16.35,5.19,1
063.bmp,3,80,64.17,-25.8,15.75,30.22,24.83,6.97,5
064.bmp,0,12,46.41,9.55,27.67,29.27,4.21,8.05,1
064.bmp,1,33,27.7,1.39,22.38,22.42,5.94,11.66,0
064.bmp,2,54,51.22,33.3,25.2,41.76,27.89,5.52,2
064.bmp,3,76,70.15,1.78,26.23,26.29,3.7,8.68,10
065.bmp,0,14,49.72,-1.87,24.94,25.01,8.23,3.06,10
065.bmp,1,37,36.43,34.42,27.16,43.84,36.96,1.28,2
065.bmp,2,56,30.13,13.48,22.63,26.35,15.68,1.74,1
065.bmp,3,73,41.17,-27.09,14.88,30.91,26.11,6.34,5
066.bmp,0,20,79.06,-3.19,26.06,26.26,5.51,8.96,10
066.bmp,1,39,52.73,31.88,31.72,44.97,36.16,9.31,2
066.bmp,2,57,83.83,-10.86,55.27,56.32,35.66,3.61,4
066.bmp,3,76,54.82,41.09,27.06,49.2,44.1,5.17,2
067.bmp,0,15,61.61,14.25,-22.53,26.66,52.81,1.03,7
067.bmp,1,32,46.36,-21.64,17.31,27.71,25.07,4.99,5
067.bmp,2,55,45.19,34.09,34.91,48.79,33.92,4.43,2
068.bmp,0,11,55.28,-1.55,24.88,24.92,3.88,4.78,10
068.bmp,1,35,35.57,1.83,21.95,22.03,1.06,6.25,1
068.bmp,2,56,57.28,-21.06,18.97,28.35,22.02,5.2,5
068.bmp,3,73,45.54,6.64,-18.61,19.76,40.8,4.27,7
069.bmp,0,12,47.28,28.78,2.53,28.89,55.52,4.01,2
069.bmp,1,32,42.83,25.42,9.39,27.1,60.41,4.52,2
069.bmp,2,49,20.75,-4.34,-7.2,8.41,40.49,20.2,0
069.bmp,3,61,18.77,-15.12,1.94,15.25,52.3,4.36,0
069.bmp,4,80,33.18,-7.77,14.89,16.79,62.84,14.48,1
070.bmp,0,14,76.36,-2.28,34.26,34.33,6.53,4.63,10
070.bmp,1,41,43.54,8.77,31.84,33.03,5.02,10,1
070.bmp,2,60,54.32,37.72,26.45,46.07,34.39,2.14,2
070.bmp,3,77,54.44,34.58,35.67,49.68,31.09,4.62,2
071.bmp,0,10,38.04,11.31,28.2,30.39,5.83,2.6,1
071.bmp,1,32,18.15,-3.59,10.19,10.8,20.17,14.03,0
071.bmp,2,52,50.37,41.95,34.2,54.13,36.96,1.78,2
071.bmp,3,75,71.27,-1.19,24.42,24.45,7.67,3.22,10
072.bmp,0,10,61.13,-25.75,35.91,44.19,29.02,0.97,5
072.bmp,1,30,49.91,-2.16,-27.98,28.07,59.14,2.92,6
072.bmp,2,51,45.63,9.12,24.8,26.42,8.79,2.14,1
072.bmp,3,77,72.47,-1.33,30.3,30.33,4.22,2.24,10
073.bmp,0,4,39.56,1.75,27.75,27.81,4.45,7.18,1
073.bmp,1,26,65.99,-2.91,1.86,3.45,27.35,3.34,8
073.bmp,2,50,24.96,-5.66,18.09,18.96,11.56,8.66,1
073.bmp,3,70,69.93,-3.92,32.44,32.67,3.55,4.8,10
074.bmp,0,12,82.37,-2.66,30.23,30.35,6.41,6.21,10
074.bmp,1,34,43.66,9.55,30.56,32.02,5.94,6.9,1
074.bmp,2,58,53.34,8.31,-12.58,15.08,44.18,7.43,7
074.bmp,3,77,64.84,32.88,26.69,42.34,29.59,8.02,2
075.bmp,0,14,64.32,-20.39,31.56,37.58,23.81,7.14,5
075.bmp,1,34,40.55,10.62,41.33,42.67,8.78,3.29,1
075.bmp,2,53,29.19,-2.88,31.69,31.82,8.16,10.4,0
075.bmp,3,76,77.74,-2.38,41.41,41.47,6.19,11.81,10
076.bmp,0,14,92.08,-3.05,31.47,31.62,6.72,7.06,10
076.bmp,1,40,91.2,-7.95,58.81,59.35,29.81,2.52,4
076.bmp,2,59,28.11,-4.06,23.33,23.68,11.15,9.32,0
076.bmp,3,79,56.87,37.3,34.03,50.49,33.73,6.31,2
077.bmp,0,32,44.7,31.36,19.48,36.92,26.89,1.84,2
077.bmp,1,52,22.67,-6.88,19.1,20.3,11.49,8.42,0
077.bmp,2,73,34.98,12.33,16.91,20.92,7.84,2.23,1
078.bmp,0,16,38.62,-2.77,24.12,24.28,7.97,6.21,10
078.bmp,1,38,47.99,13.01,35.66,37.95,25,4.08,3
078.bmp,2,56,13.36,-4.88,11.92,12.88,4.79,7.08,0
078.bmp,3,76,29.38,13.79,22.09,26.04,17.46,2.46,1
079.bmp,0,15,33.42,16.17,27,31.47,14.3,1.16,1
079.bmp,1,32,64.22,-4.16,1.2,4.33,33.01,1.46,8
079.bmp,2,51,38.46,10.64,35.19,36.76,7.51,3.23,1
079.bmp,3,76,63.15,0.58,27.06,27.07,6.87,4.28,10
080.bmp,0,13,46.58,-3.3,20.45,20.72,3.29,6.44,10
080.bmp,1,37,55.08,27.55,50.72,57.72,45.39,2.46,3
080.bmp,2,55,73.58,-3.66,0.44,3.68,16.75,2.36,8
080.bmp,3,75,47.99,6.34,-44.97,45.41,62.84,1.15,6
081.bmp,0,11,96.68,-0.53,1.2,1.32,17,4.72,9
081.bmp,1,32,31.37,9,23.89,25.53,10.95,5.69,1
081.bmp,2,51,39.9,32.66,25.98,41.73,33.92,5,2
081.bmp,3,69,59.37,-0.36,21.31,21.32,3.11,11.21,10
082.bmp,0,15,49.76,-3.62,-0.97,3.75,27.85,2.43,8
082.bmp,1,32,43.76,37.59,42.42,56.68,39.2,4.59,2
082.bmp,2,48,45.03,33.02,38.59,50.79,33.49,5.08,2
082.bmp,3,76,38.92,-4.81,30.61,30.99,7.91,4.98,10
083.bmp,0,9,46.3,2.12,16.84,16.98,4.28,5.11,10
083.bmp,1,30,44.64,22.52,36.36,42.77,31.33,3.92,3
083.bmp,2,51,75.91,1.58,2,2.55,10.58,5.88,9
083.bmp,3,71,51.48,21.77,32.22,38.88,27.78,4.51,3
084.bmp,0,13,71.52,-2.92,35.75,35.87,6.32,7.05,10
084.bmp,1,41,73.52,27.73,64.19,69.92,39.62,0.62,3
084.bmp,2,58,20.2,-9.77,12.25,15.67,24.58,2.55,0
084.bmp,3,76,50.88,44.11,42.8,61.46,42.28,7,2
085.bmp,0,18,57.71,27.51,46.47,54,43.11,2.76,3
085.bmp,1,40,62.86,6.03,34.11,34.64,20.2,3.94,3
085.bmp,2,58,68.91,-4.46,39.37,39.62,23.34,2.79,4
085.bmp,3,77,59.42,-6.27,24.25,25.05,8.79,7.86,10
086.bmp,0,12,41.63,13.65,-34.13,36.76,68.36,4.23,7
086.bmp,1,31,49.54,-31.38,35.98,47.74,34.62,3.3,5
086.bmp,2,52,8.86,-5.14,4.89,7.1,29.7,4.84,0
086.bmp,3,74,40.5,-5.66,30.89,31.4,9.16,6.8,10
087.bmp,0,12,50.48,16.27,-35.36,38.92,60.99,1.9,7
087.bmp,1,27,75.04,-27.75,11.22,29.93,31.63,2.77,5
087.bmp,2,45,39.43,6.64,11.14,12.97,13.71,1.1,1
087.bmp,3,74,57.89,-6.59,27.5,28.28,8.72,7.35,10
088.bmp,0,13,62.45,2.3,28.96,29.05,1.82,10.38,10
088.bmp,1,39,60.31,16.67,44.29,47.32,20.15,4.27,3
088.bmp,2,58,58.25,19.84,47.86,51.81,24.92,4.35,3
088.bmp,3,78,61.23,23.14,53.38,58.18,31.3,2.9,3
089.bmp,0,9,71.68,23.45,61.73,66.04,35.1,1.47,3
089.bmp,1,29,68.54,21.28,57.33,61.15,30.24,1.75,3
089.bmp,2,48,84.98,-7.7,59.39,59.89,29.37,2.7,4
089.bmp,3,71,67.91,-2.53,29.19,29.3,7.36,2.55,10
090.bmp,0,11,33.68,6.31,14.89,16.17,5.21,4.05,1
090.bmp,1,33,41.34,-8.63,11.05,14.02,10.5,5.4,5
090.bmp,2,51,48.57,24.3,30.52,39.01,28.95,1.99,3
091.bmp,0,14,58.8,0.38,27.84,27.84,3.42,3.63,10
091.bmp,1,60,40.24,11.13,-22.59,25.19,51.03,2.04,7
091.bmp,2,81,68.51,-7.1,53.04,53.51,27.4,3.05,4
092.bmp,0,11,46.98,-2.04,25.29,25.37,7.51,5.35,10
092.bmp,1,46,33.96,26.15,25.62,36.61,24.34,4.36,2
092.bmp,2,61,35.35,0,-12.7,12.7,32.21,6.23,6
092.bmp,3,73,41.12,1.8,16.54,16.64,2.97,3.52,1
093.bmp,0,17,32.89,9.97,-13.69,16.93,32.94,1.61,7
093.bmp,1,36,16.38,-9.53,6.53,11.55,14.44,5.69,5
093.bmp,2,61,16.54,22.33,16.2,27.59,22.65,1.26,2
093.bmp,3,87,25.85,2.03,17.5,17.62,2.31,2.27,10
094.bmp,0,14,26.73,1.34,-10.06,10.15,16.53,1.71,8
094.bmp,1,33,28.13,27.11,16.06,31.51,27.33,2.52,2
094.bmp,2,51,30.82,24.55,12.72,27.65,23.86,3.04,2
094.bmp,3,79,35.06,-1.42,10.53,10.63,5.01,1.38,10
095.bmp,0,18,32.11,8.66,8.2,11.93,10.19,1.69,1
095.bmp,1,35,54.25,-1.08,-7.19,7.27,19.03,1.97,8
095.bmp,2,56,33.2,8.83,13.33,15.99,9.8,1.84,1
095.bmp,3,84,55.47,-0.39,11.64,11.65,0.51,4.1,10
096.bmp,0,19,54.97,-0.27,12.12,12.13,10.35,7.8,10
096.bmp,1,38,40.14,29.62,7.29,30.51,32.38,7.31,2
096.bmp,2,58,63.28,-14.2,44.39,46.61,44.05,4.36,4
096.bmp,3,78,40.63,32.35,10.48,34.01,35.69,2.86,2
097.bmp,0,14,15.11,11,5.09,12.12,9.08,6.32,1
097.bmp,1,35,4.52,3.12,-1.89,3.65,10.89,1.96,0
097.bmp,2,56,27.77,27.98,12.36,30.59,25.41,2.67,2
